rooftop_id,rooftop_name,dms_id,imei,times_went_to_dealer,times_went_to_other_repair_shops,days_since_last_visit,avg_spend_per_visit,appointment_no_show_rate,vehicle_age_years,service_visits_last_90d,retention_score
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352602563421607,1,1,120,272.81,0.088,2.6,1,39
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353375433036541,3,2,54,234.08,0.057,0.9,0,45
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354586850142940,3,2,45,175.14,0.167,6.4,0,35
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351965569816934,4,0,145,208.06,0.123,6.5,2,60
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350608835615951,1,1,25,224.46,0.318,0.0,0,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354846564823662,0,2,84,99.78,0.203,0.0,1,37
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359946804436995,2,1,99,280.67,0.199,4.8,0,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357773872148951,1,2,55,209.0,0.205,5.0,3,44
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353433200379176,3,1,61,137.75,0.287,3.5,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359367632016328,1,0,65,114.2,0.207,4.4,0,39
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357083172788957,3,3,73,239.23,0.112,4.0,1,54
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359868727743487,4,0,86,192.67,0.22,4.6,1,59
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353471434558122,2,1,11,208.96,0.124,2.7,1,56
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353623166587603,1,0,117,181.6,0.038,4.5,1,57
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356690967054668,3,2,49,119.84,0.077,3.2,1,46
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358937346706562,1,2,167,210.52,0.169,3.0,2,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357298069901627,4,1,97,168.15,0.307,0.8,0,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352046537556464,2,0,26,178.7,0.162,4.1,2,63
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351708053100330,4,2,78,322.62,0.289,6.1,0,46
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359232719374529,3,2,111,232.14,0.172,3.8,2,44
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359124190496631,2,2,44,235.61,0.19,3.8,0,39
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359314919058651,7,3,24,343.23,0.134,7.0,1,70
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358506716572628,3,0,20,203.07,0.208,6.5,1,61
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354987769453147,3,0,14,187.18,0.18,8.0,1,66
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353799650752735,2,3,6,139.25,0.075,9.0,1,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354549480831367,3,0,49,152.85,0.484,4.6,3,73
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358377701436349,4,0,21,57.17,0.202,2.2,1,60
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355788568557444,0,3,31,227.43,0.239,3.5,2,39
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353135182337498,1,2,170,103.98,0.261,5.6,0,20
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359413435240824,2,0,73,234.16,0.116,7.4,2,62
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350084271094777,2,4,25,177.42,0.192,2.4,0,26
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355204711671902,3,0,223,187.68,0.055,5.0,2,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352941318699938,2,2,65,177.46,0.16,2.9,3,65
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356774964990913,4,2,210,263.16,0.247,4.2,2,42
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353412328120679,1,2,144,252.57,0.09,4.2,0,15
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357403447134936,2,1,67,178.27,0.205,5.3,3,55
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351832421024994,1,0,49,126.06,0.028,8.6,3,69
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357174648877190,6,1,95,235.43,0.151,5.5,1,63
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356594013990490,2,4,62,121.53,0.205,3.6,2,33
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352787429671756,2,0,37,86.71,0.202,3.3,2,69
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355512567468071,3,1,35,209.9,0.167,4.1,2,61
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355451680876038,4,2,106,253.11,0.155,2.8,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355977034824771,3,3,25,155.69,0.402,4.8,1,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350932480861317,0,1,105,204.27,0.285,0.0,0,23
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351274846773782,2,3,55,155.06,0.225,4.1,1,31
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356398214658404,1,2,12,223.32,0.314,4.2,1,40
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354997278755886,2,2,111,245.7,0.122,2.2,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357533963605766,1,1,25,164.23,0.163,3.7,0,34
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352702895171870,0,0,29,118.34,0.114,6.7,0,37
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352621745961586,0,1,45,92.58,0.14,6.9,1,31
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355780913431611,1,3,51,235.54,0.205,3.4,0,26
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357240050455623,3,2,67,111.81,0.142,5.5,2,56
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358692221969379,3,2,107,202.32,0.185,1.5,4,70
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352374740748217,1,0,105,226.64,0.204,3.9,3,61
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355946474367136,2,2,34,149.92,0.302,5.0,2,44
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359594406409097,0,1,35,170.03,0.146,7.6,1,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354395339421047,2,3,99,239.94,0.115,6.9,3,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350952145623285,1,1,22,131.51,0.094,4.9,2,55
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358842474517123,2,2,55,125.42,0.339,2.7,0,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356851604817549,6,2,137,165.94,0.167,7.2,3,70
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356513709859317,4,1,38,256.67,0.145,3.8,1,71
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354612004711382,2,5,14,276.64,0.241,5.4,0,26
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356758692617964,2,0,25,174.07,0.092,4.3,3,80
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350537735158506,2,3,27,137.27,0.315,8.5,3,47
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354317139005329,2,0,24,243.85,0.144,3.3,2,68
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353183933529042,4,0,44,79.84,0.253,6.3,1,62
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352842102053950,5,1,207,194.86,0.135,4.3,1,53
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352402681177589,4,1,77,177.37,0.201,5.6,0,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351783908470076,1,1,47,257.63,0.187,7.7,0,27
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356177115921249,1,3,50,263.7,0.175,0.5,2,54
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359856984789611,4,2,30,123.45,0.213,4.4,0,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358367365766156,5,1,50,190.06,0.11,2.7,2,77
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355452711116152,2,0,133,145.76,0.185,5.4,1,40
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358098851656049,5,2,56,162.4,0.219,5.9,0,40
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354519832731585,2,2,104,217.04,0.124,3.6,1,44
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351493689980940,1,1,95,159.91,0.264,3.5,0,30
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352445502296120,4,3,201,191.64,0.168,4.9,1,34
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351836675254599,3,5,94,237.44,0.103,2.0,4,57
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351022901476797,1,2,192,270.91,0.176,5.2,0,22
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356438156149784,2,0,110,197.32,0.092,2.9,1,49
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350369003432445,5,2,67,187.07,0.172,6.0,3,68
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351076226838851,4,0,28,113.56,0.182,1.9,2,82
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356060715969664,2,1,104,275.15,0.03,3.4,0,47
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351605297516136,2,2,110,209.74,0.189,3.0,1,36
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359681645352181,3,1,112,188.17,0.128,3.9,0,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358835523124329,4,3,2,185.1,0.113,7.3,5,75
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352127799799552,4,1,37,201.64,0.184,6.2,3,75
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357177449058147,3,0,76,226.31,0.074,3.5,0,57
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357005411998679,1,0,40,233.73,0.107,3.5,1,54
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358079359782071,1,0,35,276.65,0.317,6.3,0,41
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355182037788925,4,0,30,194.56,0.069,2.2,1,70
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355466590515186,0,1,12,285.25,0.145,4.5,0,33
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354492519254629,0,3,73,243.46,0.11,3.3,1,36
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351486528168505,4,1,33,176.39,0.179,4.2,3,79
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354235733221418,5,1,38,79.96,0.105,6.1,0,58
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358805929622292,1,4,47,185.13,0.134,3.2,3,42
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357065379473834,4,5,82,273.51,0.112,6.4,1,30
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357359774688623,2,0,66,133.48,0.282,8.9,1,42
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359240758181412,3,0,63,184.95,0.192,5.7,0,52
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354782613750606,1,1,5,189.91,0.076,4.3,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358536153051522,3,2,106,236.53,0.057,6.8,0,33
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350472779010432,3,2,161,156.73,0.081,2.3,0,30
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358986143410369,2,0,62,127.84,0.281,7.5,2,53
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357117980893246,4,1,21,214.2,0.079,3.0,2,75
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350953962185188,2,3,35,135.4,0.152,8.8,0,26
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358880670654051,2,2,22,69.87,0.171,3.1,4,76
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355319520585277,1,1,148,290.42,0.185,5.8,1,34
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352217043030548,2,1,38,235.62,0.035,1.4,2,67
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356874034505415,3,2,64,293.0,0.049,4.1,0,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356676527758416,2,1,46,232.44,0.167,2.3,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351692845115447,2,1,79,220.82,0.137,1.6,0,40
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359627570596401,5,0,26,202.17,0.13,6.9,2,83
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356582029702135,4,6,62,168.84,0.08,2.0,1,38
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355690927557192,5,0,38,210.73,0.263,3.0,2,82
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358565431027868,4,2,115,146.81,0.051,2.8,2,62
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351447394731217,0,1,5,115.85,0.02,6.8,2,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352715518844225,1,2,42,160.07,0.159,6.5,2,56
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358313237058957,2,2,108,257.49,0.147,7.0,1,39
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358291146786691,2,3,99,106.06,0.276,2.9,2,37
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352517785289226,3,2,13,107.01,0.141,7.2,1,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358018242253584,1,1,92,215.48,0.212,2.9,0,42
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,351438424981829,5,1,24,155.1,0.137,3.0,2,79
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359229959001094,3,2,31,209.13,0.262,3.1,0,43
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353969078447364,2,3,104,239.39,0.076,3.2,2,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357102767735925,3,1,41,207.69,0.245,4.3,3,77
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355562588153714,3,2,12,142.07,0.101,2.8,0,40
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357321046963259,1,0,19,256.98,0.045,5.0,1,62
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355327877470168,3,3,55,224.53,0.161,0.0,1,49
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357339500479748,2,1,40,181.61,0.207,5.0,1,53
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350162456506098,1,1,39,178.71,0.072,2.3,1,53
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353584168784991,3,2,78,202.44,0.149,3.2,2,52
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352165585239868,4,2,68,161.28,0.044,3.2,2,66
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,350002578729825,1,1,42,82.13,0.156,6.4,2,50
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359526949588879,2,0,100,225.01,0.045,5.5,3,72
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354705516940974,6,3,79,221.44,0.023,4.2,1,63
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359930972896230,3,0,65,41.94,0.053,3.1,1,58
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,359130756263689,1,0,35,210.64,0.04,6.1,3,64
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357028385786527,3,4,112,285.39,0.218,8.1,0,17
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358585497334843,1,1,39,112.34,0.183,4.4,2,48
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,354437575844198,3,2,42,175.6,0.042,1.3,2,64
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356652404157473,0,0,150,169.08,0.27,3.1,2,55
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353848421993308,4,0,25,279.62,0.093,5.6,2,71
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,353301657120826,7,1,25,247.26,0.053,3.6,0,82
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,357734540193802,6,2,43,127.3,0.364,2.8,0,45
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,356206724004991,3,1,21,200.53,0.054,2.7,0,59
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,355478872874315,0,2,21,318.16,0.128,4.7,2,55
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,352742054932966,5,1,148,142.52,0.124,1.4,1,60
49dc2ce3-76ef-4d7b-90cb-699ecc8da8cc,Stephen Wade Nissan,DVD24884,358516122753046,1,0,43,179.33,0.202,4.4,1,47
